word,syllable break,phoneme,syllabilized phonemes
molt,molt,m ˈoʊ l t,
buddy,bud.dy,b ˈʌ d i,b ˈʌ d . i
aha,a.ha,ˌɑ h ˈɑ,ˌɑ . h ˈɑ
affection,af.fec.tion,ə f ˈɛ k ʃ ə n,ə . f ˈɛ k . ʃ ə n
heavies,heav.ies,h ˈɛ v i z,
equate,e.quate,ɪ k w ˈeɪ t,ɪ . k w ˈeɪ t
stir,stir,s t ˈɚ,s t ˈɚ
germ,germ,d͡ʒ ˈɚ m,d͡ʒ ˈɚ m
pigtail,pig.tail,p ˈɪ ɡ t ˌeɪ l,p ˈɪ ɡ . t ˌeɪ l
acorn,a.corn,ˈeɪ k ɔ ɹ n,ˈeɪ . k ɔ ɹ n
whisker,whisk.er,w ˈɪ s k ɚ,w ˈɪ s . k ɚ
cure,cure,k j ˈʊ ɹ,k j ˈʊ ɹ
consult,con.sult,k ˈɑ n s ʌ l t,k ˈɑ n . s ʌ l t
noodle,noo.dle,n ˈu d ə l,n ˈu . d ə l
teens,teens,t ˈi n z,
prepare,pre.pare,p ɹ i p ˈɛ ɹ,p ɹ i . p ˈɛ ɹ
knee,knee,n ˈi,n ˈi
realize,re.al.ize,ɹ ˈi ə l ˌaɪ z,ɹ ˈi . ə l . ˌaɪ z
sulk,sulk,s ˈʌ l k,
treetop,tree.top,t ɹ ˈi t ˌɔ p,t ɹ ˈi . t ˌɔ p
mechanics,me.chan.ics,m ɪ k ˈæ n ɪ k s,m ɪ . k ˈæ n . ɪ k s
tracker,track.er,t ɹ ˈæ k ɚ,t ɹ ˈæ k . ɚ
mile,mile,m ˈaɪ l,m ˈaɪ l
frill,frill,f ɹ ˈɪ l,
sailor,sail.or,s ˈeɪ l ɚ,s ˈeɪ . l ɚ
jolt,jolt,d͡ʒ ˈoʊ l t,d͡ʒ ˈoʊ l t
apartment,a.part.ment,ə p ˈɑ ɹ t m ə n t,ə . p ˈɑ ɹ t . m ə n t
uncomfortable,un.com.fort.a.ble,ʌ ŋ k ˈʌ m f ɚ t ə b ə l,ʌ ŋ . k ˈʌ m . f ɚ t . t ə . b ə l
understood,un.der.stood,ˌʌ n d ɚ s t ˈʊ d,ˌʌ n . d ɚ . s t ˈʊ d
hospital,hos.pi.tal,h ˈɔ s p ˌɪ t ə l,h ˈɔ . s p ˌɪ . t ə l
abouts,a.bouts,ə b ˌaʊ t s,ə . b ˌaʊ t s
traveling,trav.el.ing,t ɹ ˈæ v ə l ɪ ŋ,t ɹ ˈæ v . ə l . ɪ ŋ
unfastened,un.fast.ened,ʌ n f ˈæ s t ə n d,ʌ n . f ˈæ s . t ə n d
sucker,suck.er,s ˈʌ k ɚ,s ˈʌ k . ɚ
berate,ber.ate,b ɪ ɹ ˈeɪ t,b ɪ . ɹ ˈeɪ t
crawl,crawl,k ɹ ˈɔ l,k ɹ ˈɔ l
unguarded,un.guar.ded,ʌ ŋ ɡ ˈɑ ɹ d ɪ d,ʌ ŋ . ɡ ˈɑ ɹ . d ɪ d
dice,di.ce,d ˈaɪ s,
uranus,ur.a.nus,j ˈʊ ɹ ə n ə s,j ˈʊ ɹ . ə . n ə s
chin,chin,t͡ʃ ˈɪ n,t͡ʃ ˈɪ n
except,ex.cept,ɪ k s ˈɛ p t,ɪ k . s ˈɛ p t
uppers,up.pers,ˈʌ p ɚ z,
movie,mov.ie,m ˈu v i,m ˈu . v i
student,stu.dent,s t ˈu d ə n t,s t ˈu . d ə n t
disappointing,dis.a.ppoin.ting,d ˌɪ s ə p ˈɔɪ n t ɪ ŋ,d ˌɪ s . ə . p ˈɔɪ n . t ɪ ŋ
snowflake,snow.flake,s n ˈoʊ f l ˌeɪ k,s n ˈoʊ . f l ˌeɪ k
value,val.ue,v ˈæ l j u,v ˈæ l . j u
painter,paint.er,p ˈeɪ n t ɚ,p ˈeɪ n . t ɚ
valleys,val.leys,v ˈæ l i z,v ˈæ l . i z
program,pro.gram,p ɹ ˈoʊ ɡ ɹ ˌæ m,p ɹ ˈoʊ . ɡ ɹ ˌæ m
pretend,pre.tend,p ɹ i t ˈɛ n d,p ɹ i . t ˈɛ n d
smalls,smalls,s m ˈɔ l z,
drain,drain,d ɹ ˈeɪ n,d ɹ ˈeɪ n
sling,sling,s l ˈɪ ŋ,s l ˈɪ ŋ
instrument,in.stru.ment,ˈɪ n s t ɹ ə m ə n t,ˈɪ n . s t ɹ ə . m ə n t
bead,bead,b ˈi d,b ˈi d
feat,feat,f ˈi t,f ˈi t
grove,grove,ɡ ɹ ˈoʊ v,ɡ ɹ ˈoʊ v
soldier,sol.dier,s ˈoʊ l d͡ʒ ɚ,s ˈoʊ l . d͡ʒ ɚ
scan,scan,s k ˈæ n,s k ˈæ n
electrics,e.lec.trics,ɪ l ˈɛ k t ɹ ɪ k s,
tread,tread,t ɹ ˈɛ d,t ɹ ˈɛ d
bellow,bel.low,b ˈɛ l oʊ,b ˈɛ . l oʊ
force,force,f ˈɔ ɹ s,f ˈɔ ɹ s
yellows,yel.lows,j ˈɛ l oʊ z,j ˈɛ l . oʊ z
lover,lov.er,l ˈʌ v ɚ,l ˈʌ v . ɚ
alongside,a.long.side,ə l ˈɔ ŋ s ˈaɪ d,ə . l ˈɔ ŋ . s ˈaɪ d
crushed,crushed,k ɹ ˈʌ ʃ t,k ɹ ˈʌ ʃ t
variety,va.ri.e.ty,v ɚ ˈaɪ ə t i,v ɚ . ˈaɪ . j ə . t i
nostril,nos.tril,n ˈɑ s t ɹ ɪ l,n ˈɑ . s t ɹ ɪ l
velociraptor,ve.lo.ci.rap.tor,v ə l ˈɔ s ə ɹ ˌæ p t ɚ,v ə . l ˈɔ s . s ə . ɹ ˌæ p . t ɚ
compasses,com.passes,k ˈɑ m p ˈæ s ɪ z,
parcel,par.cel,p ˈɑ ɹ s ə l,p ˈɑ ɹ . s ə l
among,a.mong,ə m ˈʌ ŋ,ə . m ˈʌ ŋ
bullying,bul.ly.ing,b ˈʊ l i ɪ ŋ,b ˈʊ l . i . ɪ ŋ
occur,oc.cur,ə k ˈɚ,ə . k ˈɚ
colors,col.ors,k ˈʌ l ɚ z,k ˈʌ l . ɚ z
baked,baked,b ˈeɪ k t,b ˈeɪ k t
ons,ons,ˈɑ n z,
tackle,tack.le,t ˈæ k ə l,t ˈæ . k ə l
hoax,hoax,h ˈoʊ k s,h ˈoʊ k s
wrestle,wres.tle,ɹ ˈɛ s ə l,ɹ ˈɛ s . ə l
petal,pet.al,p ˈɛ t ə l,p ˈɛ t . ə l
marbles,mar.bles,m ˈɑ ɹ b ə l z,m ˈɑ ɹ . b ə l z
colored,col.ored,k ˈʌ l ɚ d,k ˈʌ l . ɚ d
verdant,ver.dant,v ˈɚ d ə n t,v ˈɚ . d ə n t
chunk,chunk,t͡ʃ ˈʌ ŋ k,t͡ʃ ˈʌ ŋ k
diggings,dig.gings,d ˈɪ ɡ ɪ ŋ z,d ˈɪ ɡ . ɪ ŋ z
celebrated,cel.e.brat.ed,s ˈɛ l ə b ɹ ˌeɪ t ɪ d,s ˈɛ l . ə . b ɹ ˌeɪ . t ɪ d
levers,le.vers,l ˈɛ v ɚ z,l ˈɛ v . ɚ z
theses,theses,θ ˈi s i z,
highlight,high.light,h ˈaɪ l ˌaɪ t,h ˈaɪ . l ˌaɪ t
overturn,o.ver.turn,ˈoʊ v ɚ t ˌɚ n,ˈoʊ . v ɚ . t ˌɚ n
exclamation,ex.cla.ma.tion,ˌɛ k s k l ə m ˈeɪ ʃ ə n,ˌɛ k . s k l ə . m ˈeɪ . ʃ ə n
awake,a.wake,ə w ˈeɪ k,ə . w ˈeɪ k
cones,cones,k ˈoʊ n z,k ˈoʊ n z
twinkles,twin.kles,t w ˈɪ ŋ k ə l z,t w ˈɪ ŋ . k ə l z
kneel,kneel,n ˈi l,n ˈi l
anywheres,an.y.wheres,ə n w ɚ z,
distract,dis.tract,d ɪ s t ɹ ˈæ k t,d ɪ . s t ɹ ˈæ k t
mas,mas,m ˈɑ z,m ˈɑ z
moral,mor.al,m ˈɔ ɹ ə l,m ˈɔ ɹ . ə l
version,ver.sion,v ˈɚ ʒ ə n,v ˈɚ . ʒ ə n
very,ve.ry,v ˈɛ ɹ i,v ˈɛ ɹ . ɹ i
client,cli.ent,k l ˈaɪ ə n t,k l ˈaɪ . ə n t
armor,ar.mor,ˈɑ ɹ m ɚ,ˈɑ ɹ . m ɚ
briefs,briefs,b ɹ ˈi f s,
gapes,gapes,ɡ ˈeɪ p z,ɡ ˈeɪ p z
tax,tax,t ˈæ k s,t ˈæ k s
villagers,vil.lag.ers,v ˈɪ l ɪ d͡ʒ ɚ z,v ˈɪ l . ɪ . d͡ʒ ɚ z
faithful,faith.ful,f ˈeɪ θ f ə l,f ˈeɪ θ . f ə l
wrapper,wrap.per,ɹ ˈæ p ɚ,ɹ ˈæ p . ɚ
rift,rift,ɹ ˈɪ f t,ɹ ˈɪ f t
evens,e.vens,ˈi v ə n z,ˈi . v ə n z
frustrate,frus.trate,f ɹ ˈʌ s t ɹ ˌeɪ t,f ɹ ˈʌ s . t ɹ ˌeɪ t
wandering,wand.er.ing,w ˈɔ n d ɚ ɪ ŋ,w ˈɔ n d . d ɚ . ɪ ŋ
nail,nail,n ˈeɪ l,n ˈeɪ l
bauble,bau.ble,b ˈɔ b ə l,b ˈɔ . b ə l
ignore,ig.nore,ɪ ɡ n ˈɔ ɹ,ɪ ɡ . n ˈɔ ɹ
section,sec.tion,s ˈɛ k ʃ ə n,s ˈɛ k . ʃ ə n
gaol,gaol,ɡ ˈeɪ l,ɡ ˈeɪ l
wastewater,waste.wa.ter,w ˈeɪ s t w ˌɔ t ɚ,w ˈeɪ s t . w ˌɔ . t ɚ
jolly,jol.ly,d͡ʒ ˈɑ l i,d͡ʒ ˈɑ . l i
channel,chan.nel,t͡ʃ ˈæ n ə l,t͡ʃ ˈæ n . ə l
elsewheres,else.wheres,ˈɛ l s ˈɛ f ɚ z,
cardboard,card.board,k ˈɑ ɹ d b ˌɔ ɹ d,k ˈɑ ɹ d . b ˌɔ ɹ d
mammal,mam.mal,m ˈæ m ə l,m ˈæ m . ə l
colleague,col.league,k ˈɑ l i ɡ,k ˈɑ . l i ɡ
excitement,ex.cite.ment,ɪ k s ˈaɪ t m ə n t,ɪ k . s ˈaɪ t . m ə n t
watercolours,wa.ter.col.ours,w ˈeɪ t ɚ k ə l ɚ z,w ˈeɪ . t ɚ . k ə . l ɚ z
wearing,wear.ing,w ˈɛ ɹ ɪ ŋ,w ˈɛ ɹ . ɪ ŋ
nervously,nerv.ous.ly,n ˈɚ v ə s l i,n ˈɚ . v ə s . l i
glaze,glaze,ɡ l ˈeɪ z,ɡ l ˈeɪ z
desired,de.sired,d ɪ z ˈaɪ ɚ d,d ɪ . z ˈaɪ ɚ d
bitters,bit.ters,b ˈɪ t ɚ z,b ˈɪ t . ɚ z
loyal,loy.al,l ˈɔɪ ə l,l ˈɔɪ . ə l
whipping,whip.ping,w ˈɪ p ɪ ŋ,w ˈɪ p . ɪ ŋ
besides,be.sides,b ɪ s ˈaɪ d z,b ɪ . s ˈaɪ d z
axes,ax.es,ˈæ k s ɪ z,
pang,pang,p ˈæ ŋ,p ˈæ ŋ
ropes,ropes,ɹ ˈoʊ p s,
sum,sum,s ˈʌ m,s ˈʌ m
ladybug,la.dy.bug,l ˈeɪ d i b ˌʌ ɡ,l ˈeɪ . d i . b ˌʌ ɡ
tables,ta.bles,t ˈeɪ b ə l z,t ˈeɪ . b ə l z
condition,con.di.tion,k ə n d ˈɪ ʃ ə n,k ə n . d ˈɪ ʃ . ə n
heel,heel,h ˈi l,h ˈi l
ax,ax,ˈæ k s,ˈæ k s
tusk,tusk,t ˈʌ s k,
briefly,brief.ly,b ɹ ˈi f l i,b ɹ ˈi f . l i
server,serv.er,s ˈɚ v ɚ,s ˈɚ . v ɚ
cell,cell,s ˈɛ l,s ˈɛ l
ashamed,a.shamed,ə ʃ ˈeɪ m d,ə . ʃ ˈeɪ m d
talent,tal.ent,t ˈæ l ə n t,t ˈæ l . ə n t
angrily,an.gri.ly,ˈæ ŋ ɡ ɹ ə l i,ˈæ ŋ . ɡ ɹ ə l . i
cob,cob,k ˈɑ b,
guest,guest,ɡ ˈɛ s t,ɡ ˈɛ s t
woe,woe,w ˈoʊ,w ˈoʊ
vow,vow,v ˈaʊ,v ˈaʊ
align,a.lign,ə l ˈaɪ n,ə . l ˈaɪ n
misdeed,mis.deed,m ˈɪ s d ˈi d,m ˈɪ s . d ˈi d
chirp,chirp,t͡ʃ ˈɚ p,t͡ʃ ˈɚ p
registration,reg.is.tra.tion,ɹ ˌɛ d͡ʒ ɪ s t ɹ ˈeɪ ʃ ə n,ɹ ˌɛ d͡ʒ . ɪ . s t ɹ ˈeɪ . ʃ ə n
khan,khan,k ˈɑ n,k ˈɑ n
seedling,seed.ling,s ˈi d l ɪ ŋ,s ˈi d . l ɪ ŋ
grade,grade,ɡ ɹ ˈeɪ d,ɡ ɹ ˈeɪ d
takings,tak.ings,t ˈeɪ k ɪ ŋ z,t ˈeɪ . k ɪ ŋ z
whispering,whis.per.ing,w ˈɪ s p ɚ ɪ ŋ,w ˈɪ s . p ɚ . ɪ ŋ
plug,plug,p l ˈʌ ɡ,p l ˈʌ ɡ
vehicle,vehi.cle,v ˈi ɪ k ə l,v ˈi ɪ . k ə l
hybrid,hy.brid,h ˈaɪ b ɹ ɪ d,h ˈaɪ . b ɹ ɪ d
nones,nones,n ˈoʊ n z,
granddaughter,grand.daugh.ter,ɡ ɹ ˈæ n d ˌɔ t ɚ,ɡ ɹ ˈæ n . d ˌɔ . t ɚ
individual,in.di.vid.u.al,ˌɪ n d ɪ v ˈɪ d͡ʒ u ə l,ˌɪ n . d ɪ . v ˈɪ d͡ʒ . u . ə l
disappearance,dis.ap.pear.ance,d ˌɪ s ə p ˈɪ ɹ ə n s,d ˌɪ s . ə . p ˈɪ ɹ . ə n s
singles,sin.gles,s ˈɪ ŋ ɡ ə l z,s ˈɪ ŋ . ɡ ə l z
flaw,flaw,f l ˈɔ,f l ˈɔ
carving,carv.ing,k ˈɑ ɹ v ɪ ŋ,k ˈɑ ɹ . v ɪ ŋ
upstair,up.stair,ʌ p s t ˈeɪ ɹ,
limb,limb,l ˈɪ m,l ˈɪ m
earring,ear.ring,ˈɪ ɹ ɪ ŋ,ˈɪ ɹ . ɪ ŋ
bases,ba.ses,b ˈeɪ s ɪ z,
ninety,nine.ty,n ˈaɪ n t i,n ˈaɪ n . t i
confidently,con.fi.dent.ly,k ˈɑ n f ə d ə n t l i,k ˈɑ n . f ə . d ə n t . l i
assured,as.sured,ə ʃ ˈʊ ɹ d,ə . ʃ ˈʊ ɹ d
fellow,fel.low,f ˈɛ l oʊ,f ˈɛ l . oʊ
revel,rev.el,ɹ ˈɛ v ə l,ɹ ˈɛ v . ə l
whooping,whoop.ing,w ˈu p ɪ ŋ,w ˈu . p ɪ ŋ
honor,hon.or,ˈɑ n ɚ,ˈɑ . n ɚ
wingspan,wing.spans,w ˈɪ ŋ s p ˌæ n,w ˈɪ ŋ . s p ˌæ n
april,a.pril,ˈeɪ p ɹ ə l,ˈeɪ . p ɹ ə l
forelimb,fore.limb,f ˈɔ ɹ l ˌɪ m,f ˈɔ ɹ . l ˌɪ m
chapter,chap.ter,t͡ʃ ˈæ p t ɚ,t͡ʃ ˈæ p . t ɚ
routine,rou.tine,ɹ u t ˈi n,ɹ u . t ˈi n
wrought,wrought,ɹ ˈɔ t,ɹ ˈɔ t
reptile,rep.tile,ɹ ˈɛ p t aɪ l,ɹ ˈɛ p . t aɪ l
pearl,pearl,p ˈɚ l,p ˈɚ l
stair,stair,s t ˈɛ ɹ,s t ˈɛ ɹ
organ,or.gan,ˈɔ ɹ ɡ ə n,ˈɔ ɹ . ɡ ə n
clothe,clothe,k l ˈoʊ ð,
wondered,won.dered,w ˈʌ n d ɚ d,w ˈʌ n . d ɚ d
wondering,won.der.ing,w ˈʌ n d ɚ ɪ ŋ,w ˈʌ n . d ɚ . ɪ ŋ
workers,work.ers,w ˈɚ k ɚ z,w ˈɚ . k ɚ z
predict,pre.dict,p ɹ ɪ d ˈɪ k t,p ɹ ɪ . d ˈɪ k t
pupil,pu.pil,p j ˈu p ə l,p j ˈu . p ə l
floppy,flop.py,f l ˈɑ p i,f l ˈɑ . p i
mains,mains,m ˈeɪ n z,
anaconda,an.a.con.da,ˌæ n ə k ˈɑ n d ə,ˌæ n . ə . k ˈɑ n . d ə
remains,re.mains,ɹ ɪ m ˈeɪ n z,ɹ ɪ . m ˈeɪ n z
gaze,gaze,ɡ ˈeɪ z,ɡ ˈeɪ z
workmates,work.mates,w ˈɚ k m ˌeɪ t ɪ s,w ˈɚ k . m ˌeɪ t z
daub,daub,d ˈɔ b,
molecule,mol.e.cule,m ˈɑ l ə k j ˌu l,m ˈɑ . l ə . k j ˌu l
occasion,oc.ca.sion,ɔ k ˈeɪ ʒ ə n,ɔ . k ˈeɪ . ʒ ə n
argument,arg.u.ment,ˈɑ ɹ ɡ j ə m ə n t,ˈɑ ɹ ɡ . j ə . m ə n t
wrestling,wres.tling,ɹ ˈɛ s ə l ɪ ŋ,ɹ ˈɛ s . l ɪ ŋ
blessing,bles.sing,b l ˈɛ s ɪ ŋ,b l ˈɛ s . ɪ ŋ
copyright,cop.y.right,k ˈɑ p i ɹ ˌaɪ t,k ˈɑ p . i . ɹ ˌaɪ t
mommy,mom.my,m ˈɑ m i,m ˈɑ m . i
jug,jug,d͡ʒ ˈʌ ɡ,d͡ʒ ˈʌ ɡ
toe,toe,t ˈoʊ,t ˈoʊ
photo,pho.to,f ˈoʊ t oʊ,f ˈoʊ . t oʊ
larva,lar.va,l ˈɑ ɹ v ə,l ˈɑ ɹ . v ə
compel,com.pel,k ə m p ˈɛ l,k ə m . p ˈɛ l
clearly,clear.ly,k l ˈɪ ɹ l i,k l ˈɪ ɹ . l i
rocket,rock.et,ɹ ˈɑ k ə t,ɹ ˈɑ k . ə t
apologize,a.pol.o.gize,ə p ˈɑ l ə d͡ʒ ˌaɪ z,ə . p ˈɑ l . ə . d͡ʒ ˌaɪ z
mornings,morn.ings,m ˈɔ ɹ n ɪ ŋ z,m ˈɔ ɹ . n ɪ ŋ z
faints,faints,f ˈeɪ n t s,
piles,piles,p ˈaɪ l z,
artificial,ar.ti.fi.cial,ˌɑ ɹ t ə f ˈɪ ʃ ə l,ˌɑ ɹ . t ə . f ˈɪ ʃ . ə l
wriggled,wrig.gled,ɹ ˈɪ ɡ ə l d,ɹ ˈɪ ɡ . ə l d
sharps,sharps,ʃ ˈɑ ɹ p s,
mores,mo.res,m ˈɔ ɹ ˌeɪ z,
attraction,at.trac.tion,ə t ɹ ˈæ k ʃ ə n,ə . t ɹ ˈæ k . ʃ ə n
ourself,our.self,aʊ ɚ s ˈɛ l f,aʊ ɚ . s ˈɛ l f
lane,lane,l ˈeɪ n,l ˈeɪ n
clinic,clin.ic,k l ˈɪ n ɪ k,k l ˈɪ n . ɪ k
cancel,can.cel,k ˈæ n s ə l,k ˈæ n . s ə l
yelling,yel.ling,j ˈɛ l ɪ ŋ,j ˈɛ l . ɪ ŋ
blackout,black.out,b l ˈæ k ˌaʊ t,b l ˈæ k . ˌaʊ t
toward,to.ward,t ə w ˈɔ ɹ d,
church,church,t͡ʃ ˈɚ t͡ʃ,t͡ʃ ˈɚ t͡ʃ
wing,wing,w ˈɪ ŋ,w ˈɪ ŋ
wounds,wounds,w ˈu n d z,
whenever,when.ev.er,w ɛ n ˈɛ v ɚ,w ɛ n . ˈɛ v . ɚ
technician,tech.ni.cian,t ɛ k n ˈɪ ʃ ə n,t ɛ k . n ˈɪ ʃ . ə n
wail,wail,w ˈeɪ l,w ˈeɪ l
consequence,con.se.quence,k ˈɑ n s ə k w ə n s,k ˈɑ n . s ə . k w ə n s
ware,ware,w ˈɛ ɹ,
gnome,gnome,n ˈoʊ m,
calves,calves,k ˈæ v z,
goose,goose,ɡ ˈu s,ɡ ˈu s
alligator,al.li.ga.tor,ˈæ l ə ɡ ˌeɪ t ɚ,ˈæ l . ə . ɡ ˌeɪ . t ɚ
thorn,thorn,θ ˈɔ ɹ n,θ ˈɔ ɹ n
accomplish,ac.com.plish,ə k ˈɑ m p l ɪ ʃ,ə . k ˈɑ m . p l ɪ ʃ
evacuate,e.vac.u.ate,ɪ v ˈæ k j u ˌeɪ t,ɪ . v ˈæ k . j u . ˌeɪ t
image,im.age,ˈɪ m ɪ d͡ʒ,ˈɪ m . ɪ d͡ʒ
braid,braid,b ɹ ˈeɪ d,b ɹ ˈeɪ d
stem,stem,s t ˈɛ m,s t ˈɛ m
misgiving,mis.giv.ing,m ɪ s ɡ ˈɪ v ɪ ŋ,m ɪ s . ɡ ˈɪ v . ɪ ŋ
compass,com.pass,k ˈʌ m p ə s,k ˈʌ m . p ə s
yellow-brown,yell.ow.brown,j ˈɛ l oʊ b ɹ ˈaʊ n,j ˈɛ l . oʊ . b ɹ ˈaʊ n
stray,stray,s t ɹ ˈeɪ,s t ɹ ˈeɪ
disease,dis.ease,d ɪ z ˈi z,d ɪ . z ˈi z
aisle,aisle,ˈaɪ l,ˈaɪ l
god,god,ɡ ˈɑ d,ɡ ˈɑ d
beauty,beau.ty,b j ˈu t i,b j ˈu . t i
quits,quits,k w ˈɪ t s,k w ˈɪ t s
sadden,sad.den,s ˈæ d ə n,s ˈæ d . ə n
cheerfully,cheer.ful.ly,t͡ʃ ˈɪ ɹ f ə l i,t͡ʃ ˈɪ ɹ . f ə l . i
rendition,ren.di.tion,ɹ ɛ n d ˈɪ ʃ ə n,ɹ ɛ n . d ˈɪ ʃ . ə n
virus,vi.rus,v ˈaɪ ɹ ə s,v ˈaɪ . ɹ ə s
cradle,cra.dle,k ɹ ˈeɪ d ə l,k ɹ ˈeɪ . d ə l
younger,youn.ger,j ˈʌ ŋ ɡ ɚ,j ˈʌ ŋ . ɡ ɚ
arrow,ar.row,ˈɛ ɹ oʊ,ˈɛ ɹ . oʊ
matt,matt,m ˈæ t,m ˈæ t
award,a.ward,ə w ˈɔ ɹ d,ə . w ˈɔ ɹ d
prop,prop,p ɹ ˈɑ p,p ɹ ˈɑ p
lung,lung,l ˈʌ ŋ,l ˈʌ ŋ
marvelous,mar.vel.ous,m ˈɑ ɹ v ə l ə s,m ˈɑ ɹ . v ə l . ə s
recruit,re.cruit,ɹ ɪ k ɹ ˈu t,ɹ ɪ . k ɹ ˈu t
chant,chant,t͡ʃ ˈæ n t,t͡ʃ ˈæ n t
airplane,air.plane,ˈɛ ɹ p l ˌeɪ n,ˈɛ ɹ . p l ˌeɪ n
hazard,haz.ard,h ˈæ z ɚ d,h ˈæ z . ɚ d
agree,a.gree,ə ɡ ɹ ˈi,ə . ɡ ɹ ˈi
member,mem.ber,m ˈɛ m b ɚ,m ˈɛ m . b ɚ
daisy,dai.sy,d ˈeɪ z i,d ˈeɪ . z i
fierce,fierce,f ˈɪ ɹ s,f ˈɪ ɹ s
creams,creams,k ɹ ˈi m z,
chinese,chi.nese,t͡ʃ aɪ n ˈi z,
jerry's,,d͡ʒ ˈɛ ɹ i z,
pork,pork,p ˈɔ ɹ k,p ˈɔ ɹ k
fay,,f ˈeɪ,
requires,re.quires,ɹ i k w ˈaɪ ɚ z,ɹ i . . k w ˈaɪ ɚ z
panda,pan.da,p ˈæ n d ə,p ˈæ n . d ə
rent,rent,ɹ ˈɛ n t,ɹ ˈɛ n t
proofs,proofs,p ɹ ˈu f s,
divine,di.vine,d ɪ v ˈaɪ n,d ɪ . v ˈaɪ n
ounces,ounces,ˈaʊ n s ɪ z,
alice,,ˈæ l ɪ s,
piggy,pig.gy,p ˈɪ ɡ i,
raging,rag.ing,ɹ ˈeɪ d͡ʒ ɪ ŋ,ɹ ˈeɪ d͡ʒ . ɪ ŋ
tapioca,,t ˈeɪ p i oʊ k ə,
lent,,l ˈɛ n t,
proudly,proud.ly,p ɹ ˈaʊ d l i,p ɹ ˈaʊ d . l i
sticky,stick.y,s t ˈɪ k i,s t ˈɪ k . i
south,south,s ˈaʊ θ,s ˈaʊ θ
ferry,fer.ry,f ˈɛ ɹ i,f ˈɛ ɹ . i
brownish,,b ɹ ˈaʊ n ɪ ʃ,
cuckoos,cuck.oos,k ˈu k u z,k ˈu k . u z
gnashed,,ɡ n ˈæ ʃ t,
loath,,l ˈoʊ θ,
michael,,m ˈaɪ k ə l,
fisherman,fish.er.man,f ˈɪ ʃ ɚ m ə n,f ˈɪ ʃ . ɚ . m ə n
anyhow,an.y.how,ˈɛ n i h ˌaʊ,ˈɛ n . i . h ˌaʊ
fourteenth,four.teenth,f ˌɔ ɹ t ˈi n θ,f ˌɔ ɹ . t ˈi n θ
sowed,,s ˈoʊ d,
existence,ex.ist.ence,ɪ ɡ z ˈɪ s t ə n s,ɪ ɡ . z ˈɪ s . t ə n s
yourself,your.self,j ʊ ɹ s ˈɛ l f,j ʊ ɹ . s ˈɛ l f
crowned,,k ɹ ˈaʊ n d,
divorce,di.vorce,d ɪ v ˈɔ ɹ s,d ɪ . v ˈɔ ɹ s
rye,,ɹ ˈaɪ,
eeyore,,ˈi ˈaɪ ɚ,
savagely,,s ˈæ v ɪ d͡ʒ l i,
eighty,eight.y,ˈeɪ t i,
ached,,ˈeɪ k t,
guildford,,ɡ w ˈɪ l d f ɚ d,
bunburied,,b ˈʌ n b ɚ ˈi d,
daylight,day.light,d ˈeɪ l ˌaɪ t,d ˈeɪ l . ˌaɪ t
tack,tack,t ˈæ k,t ˈæ k
void,void,v ˈɔɪ d,v ˈɔɪ d
obey,o.bey,oʊ b ˈeɪ,
kitty,kit.ty,k ˈɪ t i,k ˈɪ t . i
darkey,,d ˈɑ ɹ k i,
silver,sil.ver,s ˈɪ l v ɚ,s ˈɪ l . v ɚ
repeating,re.peat.ing,ɹ ɪ p ˈi t ɪ ŋ,
chirruping,,t͡ʃ ˈɪ ɹ ˌu p ɪ ŋ,
wedge,wedge,w ˈɛ d͡ʒ,w ˈɛ d͡ʒ
louding,,l ˈaʊ d ɪ ŋ,
enjoyed,,ɪ n d͡ʒ ˈɔɪ d,
boudoir,,b ˈu d ˌɔɪ ɹ,
thirteenth,,θ ˈɚ t ˈi n θ,
midyear,,m ˈɪ d j ˌɪ ɹ,
explorer,ex.plor.er,ɪ k s p l ˈɔ ɹ ɚ,ɪ k . s p l ˈɔ ɹ . ɚ
alice's,,ˈæ l ɪ s ɪ z,
august,au.gust,ˈɔ ɡ ə s t,
rash,rash,ɹ ˈæ ʃ,ɹ ˈæ ʃ
emperor,em.per.or,ˈɛ m p ɚ ɚ,ˈɛ m . p ɚ . ɚ
laborers,la.bor.ers,l ˈeɪ b ɚ ɚ z,
carpenter,car.pen.ter,k ˈɑ ɹ p ə n t ɚ,k ˈɑ ɹ . p ə n . t ɚ
cost,cost,k ˈɔ s t,k ˈɔ s t
seventeen,sev.en.teen,s ˈɛ v ə n t ˈi n,s ˈɛ v . ə n . t ˈi n
lastnight,,l ˈæ s t n ˌaɪ t,
nauseous,,n ˈɔ ʃ ə s,
aged,a.ged,ˈeɪ d͡ʒ d,
bulrush,,b ˈʊ l ɹ ə ʃ,
cloven,,k l ˈoʊ v ə n,
winnie,,w ˈɪ n i,
gamble,gam.ble,ɡ ˈæ m b ə l,ɡ ˈæ m . b ə l
gum,gum,ɡ ˈʌ m,ɡ ˈʌ m
shoemaker,,ʃ ˈu m ˌeɪ k ɚ,
seized,,s ˈi z d,
pepper,pep.per,p ˈɛ p ɚ,p ˈɛ p . ɚ
nervy,,n ˈɚ v i,
disorder,dis.or.der,d ɪ s ˈɔ ɹ d ɚ,d ɪ s ˈɔ ɹ . d ɚ
annie,,ˈæ n i,
